i,xi,Lxi,fxi,Exi,
1,-1.000000000000000e+00,3.678794411714423e-01,3.678794411714423e-01,0.000000000000000e+00,
2,-9.797979797979798e-01,3.698998704637489e-01,3.753869269345544e-01,5.487056470805433e-03,
3,-9.595959595959596e-01,3.723635856532622e-01,3.830476214290482e-01,1.068403577578608e-02,
4,-9.393939393939394e-01,3.752705867399820e-01,3.908646512563072e-01,1.559406451632519e-02,
5,-9.191919191919192e-01,3.786208737239084e-01,3.988412068237137e-01,2.022033309980531e-02,
6,-8.989898989898990e-01,3.824144466050415e-01,4.069805436467683e-01,2.456609704172684e-02,
7,-8.787878787878788e-01,3.866513053833811e-01,4.152859836777806e-01,2.863467829439945e-02,
8,-8.585858585858586e-01,3.913314500589274e-01,4.237609166616761e-01,3.242946660274875e-02,
9,-8.383838383838384e-01,3.964548806316802e-01,4.324088015194718e-01,3.595392088779154e-02,
10,-8.181818181818182e-01,4.020215971016397e-01,4.412331677599840e-01,3.921157065834430e-02,
11,-7.979797979797980e-01,4.080315994688058e-01,4.502376169203467e-01,4.220601745154097e-02,
12,-7.777777777777778e-01,4.144848877331784e-01,4.594258240359266e-01,4.494093630274818e-02,
13,-7.575757575757576e-01,4.213814618947577e-01,4.688015391402353e-01,4.742007724547760e-02,
14,-7.373737373737374e-01,4.287213219535436e-01,4.783685887954514e-01,4.964726684190779e-02,
15,-7.171717171717172e-01,4.365044679095361e-01,4.881308776541761e-01,5.162640974464003e-02,
16,-6.969696969696970e-01,4.447308997627352e-01,4.980923900530609e-01,5.336149029032567e-02,
17,-6.767676767676768e-01,4.534006175131409e-01,5.082571916389563e-01,5.485657412581541e-02,
18,-6.565656565656566e-01,4.625136211607532e-01,5.186294310282473e-01,5.611580986749404e-02,
19,-6.363636363636364e-01,4.720699107055722e-01,5.292133415000503e-01,5.714343079447812e-02,
20,-6.161616161616162e-01,4.820694861475977e-01,5.400132427239652e-01,5.794375657636747e-02,
21,-5.959595959595960e-01,4.925123474868298e-01,5.510335425230855e-01,5.852119503625565e-02,
22,-5.757575757575758e-01,5.033984947232686e-01,5.622787386729876e-01,5.888024394971906e-02,
23,-5.555555555555556e-01,5.147279278569139e-01,5.737534207374328e-01,5.902549288051886e-02,
24,-5.353535353535354e-01,5.265006468877659e-01,5.854622719415307e-01,5.896162505376483e-02,
25,-5.151515151515152e-01,5.387166518158245e-01,5.974100710831303e-01,5.869341926730580e-02,
26,-4.949494949494949e-01,5.513759426410896e-01,6.096016944832164e-01,5.822575184212674e-02,
27,-4.747474747474747e-01,5.644785193635614e-01,6.220421179761098e-01,5.756359861254842e-02,
28,-4.545454545454545e-01,5.780243819832398e-01,6.347364189402819e-01,5.671203695704207e-02,
29,-4.343434343434343e-01,5.920135305001248e-01,6.476897783706126e-01,5.567624787048778e-02,
30,-4.141414141414141e-01,6.064459649142164e-01,6.609074829929388e-01,5.446151807872243e-02,
31,-3.939393939393939e-01,6.213216852255146e-01,6.743949274217548e-01,5.307324219624021e-02,
32,-3.737373737373737e-01,6.366406914340194e-01,6.881576163619457e-01,5.151692492792627e-02,
33,-3.535353535353535e-01,6.524029835397308e-01,7.022011668554530e-01,4.979818331572224e-02,
34,-3.333333333333333e-01,6.686085615426488e-01,7.165313105737893e-01,4.792274903114043e-02,
35,-3.131313131313131e-01,6.852574254427735e-01,7.311538961573359e-01,4.589647071456247e-02,
36,-2.929292929292929e-01,7.023495752401047e-01,7.460748916023818e-01,4.372531636227709e-02,
37,-2.727272727272727e-01,7.198850109346425e-01,7.613003866968738e-01,4.141537576223123e-02,
38,-2.525252525252525e-01,7.378637325263870e-01,7.768365955058757e-01,3.897286297948873e-02,
39,-2.323232323232323e-01,7.562857400153380e-01,7.926898589077489e-01,3.640411889241088e-02,
