m,trapezoidal,trapezoidal error,trapezoidal % error,trapezoidal runtime (ns),simpsons,simpsons error,simpsons % error,Simpson runtime (ns),gauss-legendre,gauss-legendre error,gauss % error,gauss runtime ns
2,4.087697E+00,4.803569E-01,1.33E+01,,3.581148E+00,2.619179E-02,7.26E-01,212.75,2.568050833,1.039289167,2.88E+01,424.031
4,3.744361E+00,1.370212E-01,3.80E+00,,3.629916E+00,2.257592E-02,6.26E-01,307.906,3.674537423,0.06719742271,1.86E+00,1.96E+03
8,3.626112E+00,1.877168E-02,5.20E-01,,3.586695E+00,2.064482E-02,5.72E-01,607.268,3.627883002,0.02054300245,5.69E-01,1.40E+03
16,3.612039E+00,4.698813E-03,1.30E-01,,3.607348E+00,7.857760E-06,2.18E-04,1282.924,3.587634144,0.01970585628,5.46E-01,3.33E+03
32,3.608517E+00,1.177163E-03,3.26E-02,,3.607343E+00,3.279731E-06,9.09E-05,2475.111,3.631693351,0.02435335104,6.75E-01,3.93E+03
64,3.607637E+00,2.965356E-04,8.22E-03,,3.607343E+00,2.993185E-06,8.30E-05,,3.575533986,0.03180601354,8.82E-01,
128,3.607416E+00,7.636536E-05,2.12E-03,,3.607343E+00,2.975269E-06,8.25E-05,,3.619806489,0.01246648858,3.46E-01,
256,3.607361E+00,2.132195E-05,5.91E-04,,3.607343E+00,2.974149E-06,8.24E-05,,3.604677176,0.00266282358,7.38E-02,
512,3.607348E+00,7.561047E-06,2.10E-04,,3.607343E+00,2.974079E-06,8.24E-05,,3.60908971,0.001749710181,4.85E-02,
1024,3.607344E+00,4.120818E-06,1.14E-04,,3.607343E+00,2.974075E-06,8.24E-05,,3.612125906,0.004785906358,1.33E-01,
