m,trapezoidal,trapezoidal error,trapezoidal % error,trapezoidal runtime (ns),simpsons,simpsons error,simpsons % error,Simpson runtime (ns),gauss-legendre,gauss-legendre error,gauss % error,gauss runtime ns
2,2.543081E+00,1.926782E-01,8.20E+00,164.111,2.362054E+00,1.165137E-02,4.96E-01,212.75,2,0.3504023873,1.49E+01,424.031
4,2.399166E+00,4.876390E-02,2.07E+00,337.705,2.351195E+00,7.924446E-04,3.37E-02,307.906,2.342696088,0.007706299378,3.28E-01,963.933
8,2.362631E+00,1.222895E-02,5.20E-01,697.151,2.350453E+00,5.062995E-05,2.15E-03,607.268,2.350336929,0.00006545860759,2.78E-03,1.40E+03
16,2.353462E+00,3.059623E-03,1.30E-01,1412.528,2.350406E+00,3.182017E-06,1.35E-04,1282.924,2.350402092,0.0000002951312328,1.26E-05,3.33E+03
32,2.351167E+00,7.650551E-04,3.25E-02,2582.934,2.350403E+00,1.991535E-07,8.47E-06,2475.111,2.350402386,0.0000000008247829086,3.51E-08,3.93E+03
64,2.350594E+00,1.912731E-04,8.14E-03,4990.869,2.350402E+00,1.245143E-08,5.30E-07,4405.513,2.350402387,0,6.69E-11,7.15E+03
128,2.350450E+00,4.781886E-05,2.03E-03,10704.327,2.350402E+00,7.782774E-10,3.31E-08,10150.016,2.350402387,0,1.13E-13,1.45E+04
256,2.350414E+00,1.195475E-05,5.09E-04,16851.843,2.350402E+00,4.863709E-11,2.07E-09,16458.075,2.350402387,0,1.13E-13,1.89E+04
512,2.350405E+00,2.988690E-06,1.27E-04,34467.545,2.350402E+00,3.037126E-12,1.29E-10,31850.396,2.350402387,0,1.13E-13,2.79E+04
1024,2.350403E+00,7.471727E-07,3.18E-05,67977.156,2.350402E+00,1.874056E-13,7.97E-12,63290.545,2.350402387,0,1.13E-13,4.78E+04
